Day,Week,Phase,Weekday,Date,Date (long),Session,Session type,Garmin sport,Shape,Load,Purpose,Fuel,Daily macros,Hydration,Electrolytes,Recovery category,Recovery guidance,Teaching block,Teaching text,Log 1,Log 2,Log 3
58,9,Specific Phase,TUESDAY,2026-12-29,Tue 29 Dec 2026,SKI THRESHOLD + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,Holding target pace for twelve to fourteen minutes is what the Endurance Zone actually asks. These intervals make that duration feel routine.,"Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",Coach's note - Attempt selection,"Open your first deadlift window at a weight you are ninety-five per cent confident of - typically ninety to ninety-three per cent of a fresh triple, adjusted down for the squat that precedes it. Window two is informed by how window one felt. Fast means add five to ten kilos. A grind means repeat.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
59,9,Specific Phase,WEDNESDAY,2026-12-30,Wed 30 Dec 2026,EASY AEROBIC + STRENGTH SEQUENCE,Aerobic + Lower strength,running / strength_training,Double,Highest,"Maximal overhead, then a heavy squat, then a deadlift on erectors that are already taxed, all inside fifteen minutes. The sequence is a skill in itself, and today rehearses it exactly.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"What a missed deadlift window costs you. The score averages two attempts, so a miss contributes zero to that average. In conventional max testing a miss costs nothing, whereas here it costs half the component, which is why the opening attempt is best kept conservative.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
60,9,Specific Phase,THURSDAY,2026-12-31,Thu 31 Dec 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",The standard - Shoulder to overhead,The 2027 standards had not been published when this book went to press. The 2026 strict press standard required full lockout with hips and knees extended and the bar over the centre of the body. Expect the same finish position with the dip and drive now permitted. Confirm against the official standards before you compete.,Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
61,9,Specific Phase,FRIDAY,2027-01-01,Fri 01 Jan 2027,METCON X - FULL,MetCon circuit,hiit,Single,High,"The whole workout at competition load, against the clock. The work from the circuit weeks is measured here as a single number.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Row calories,"You must complete the full required calories before coming off the seat. The monitor, not your count, is what the judge reads. Standing before the monitor shows full calories is a common way to lose a good MetCon time.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
62,9,Specific Phase,SATURDAY,2027-01-02,Sat 02 Jan 2027,ENDURANCE ZONE - SECOND REHEARSAL,Run to ski transition,running / cardio_training,Single,Highest,"The same zone at a different entry pace. Comparing the total against Week 7 shows which produced more ski metres, which gives you a race strategy based on your own data rather than a table.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",Kit - What is in your bag on the day,"Chalk. One pair of knee sleeves, unrolled. Belt. Wrist wraps if you use them. Shoes. Food and drink for the gaps between zones. Not in your bag: straps, hand grips, knee wraps, headphones. All banned.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
63,9,Specific Phase,SUNDAY,2027-01-03,Sun 03 Jan 2027,EASY AEROBIC,Easy aerobic,running,Single,Low,Recovery from the most demanding week of the plan. Keep it easy and let the specific work settle.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Score impact,Compare your numbers against published results rather than your own training history. The useful question is where your total would have placed. Doing that for all three zones shows where your discretionary training time is best spent.,Average heart rate,Compare to the same session in Week 1,How the week felt overall
64,10,Specific Phase,MONDAY,2027-01-04,Mon 04 Jan 2027,3 KM SPECIFIC RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,Your buy-in pace is worth roughly 187 metres of ski score per fifteen seconds per kilometre. This session makes that pace repeatable.,"Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",Coach's note - The MetCon crux,"Sandbag squats into an immediate carry is where the workout is decided. Same grip, same trunk, no relief between them. One full exhale on each squat ascent, without holding your breath at the bottom.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
65,10,Specific Phase,TUESDAY,2027-01-05,Tue 05 Jan 2027,SKI THRESHOLD + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,Holding target pace for twelve to fourteen minutes is what the Endurance Zone actually asks. These intervals make that duration feel routine.,"Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",The number,"MetCon X is bookended by rows, and they are the only elements where you control pace with real precision. Set off at an effort you could hold for the whole piece, since the opening row is where time is most easily overspent.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
66,10,Specific Phase,WEDNESDAY,2027-01-06,Wed 06 Jan 2027,EASY AEROBIC + STRENGTH SEQUENCE,Aerobic + Lower strength,running / strength_training,Double,Highest,"Maximal overhead, then a heavy squat, then a deadlift on erectors that are already taxed, all inside fifteen minutes. The sequence is a skill in itself, and today rehearses it exactly.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The standard - Sandbag carry distance,"Thirty metres is fifteen out and fifteen back. Both feet must clearly pass the turn line. Individual athletes carry 30 m. Pairs carry 60 m with a changeover, and the second athlete must start from behind the designated line.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
67,10,Specific Phase,THURSDAY,2027-01-07,Thu 07 Jan 2027,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",From the floor - Between-zone fuelling,"Thirty to forty minutes between zones is enough for 30 to 40 g of easily digested carbohydrate and fluid, and not enough for a meal. Rehearse exactly what you will take. Competition day is not the time to discover something does not sit well.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
68,10,Specific Phase,FRIDAY,2027-01-08,Fri 08 Jan 2027,METCON X - FULL,MetCon circuit,hiit,Single,High,"The whole workout at competition load, against the clock. The work from the circuit weeks is measured here as a single number.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Bench press lockout,"Every rep needs full elbow extension. Under fatigue the last few centimetres are the first thing to go. Counting in blocks of ten, resetting the breathing between them, works better than a continuous thirty.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
69,10,Specific Phase,SATURDAY,2027-01-09,Sat 09 Jan 2027,ENDURANCE ZONE - PACED,Run to ski transition,running / cardio_training,Single,Highest,Run your chosen strategy and confirm it holds. This should now feel rehearsed rather than experimental.,"Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",Kit - Grip without straps,"With straps banned, hook grip or mixed grip is your only option on a heavy deadlift triple. If you use hook grip, chalk heavily. If you use mixed grip, alternate which hand supinates across your training sets.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
70,10,Specific Phase,SUNDAY,2027-01-10,Sun 10 Jan 2027,EASY AEROBIC,Easy aerobic,running,Single,Low,Recovery from the most demanding week of the plan. Keep it easy and let the specific work settle.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Coach's note - Commit the plan to paper,"Write your deadlift attempt weights, your buy-in pace and your MetCon opening row split on a card and put it in your bag. Decisions made calmly this week tend to be better than the same ones made under fatigue on the floor.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
71,11,Specific Phase,MONDAY,2027-01-11,Mon 11 Jan 2027,3 KM SPECIFIC RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,Your buy-in pace is worth roughly 187 metres of ski score per fifteen seconds per kilometre. This session makes that pace repeatable.,"Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.","From the floor - Simulate the day, not the sessions","Warm-up timing, food between zones, kit changes, chalk and where your bag goes. The logistics are as much a part of the day as the sessions. Every problem found today is one you will not meet on the floor.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
72,11,Specific Phase,TUESDAY,2027-01-12,Tue 12 Jan 2027,SKI THRESHOLD + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,Holding target pace for twelve to fourteen minutes is what the Endurance Zone actually asks. These intervals make that duration feel routine.,"Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",Score impact,"The best available result in a zone is one point, while the worst is the size of the field, so the tactical decisions from here favour protecting the result. Hold the opening run to your rehearsed pace, use a sandbag load you can control, and avoid taking risks in any single zone.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
73,11,Specific Phase,WEDNESDAY,2027-01-13,Wed 13 Jan 2027,EASY AEROBIC + STRENGTH SEQUENCE,Aerobic + Lower strength,running / strength_training,Double,Highest,"Maximal overhead, then a heavy squat, then a deadlift on erectors that are already taxed, all inside fifteen minutes. The sequence is a skill in itself, and today rehearses it exactly.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"Under rank-sum scoring, balance across zones tends to outscore specialisation, sometimes by a single point. Three solid placings will usually finish ahead of two wins and a poor result.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
74,11,Specific Phase,THURSDAY,2027-01-14,Thu 14 Jan 2027,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Coach's note - The last hard week,"From here the aim shifts from building fitness to preserving it, since twelve days is not long enough to add much. Train this week fully, and from then on additional work is unlikely to help.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
75,11,Specific Phase,FRIDAY,2027-01-15,Fri 15 Jan 2027,METCON X - FULL,MetCon circuit,hiit,Single,High,"The whole workout at competition load, against the clock. The work from the circuit weeks is measured here as a single number.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",The standard - Erg handles,"Handles must not be released in a way that could damage the machine. Bring them high and release gently, or hand over in pairs. The penalty is thirty seconds. That is a large number in a time-scored workout.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
76,11,Specific Phase,SATURDAY,2027-01-16,Sat 16 Jan 2027,FULL COMPETITION SIMULATION,Run to ski transition,running / cardio_training,Single,Highest,"All three zones in one session, in order, with realistic recovery between them. The purpose is to find the problems rather than to post good scores.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",Kit - Two of everything,"Spare shoes, spare chalk and spare food. Venue conditions vary and so do plans. It is also worth knowing where the venue is, when you need to arrive and what the parking is like, since the day starts well before the first zone.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
77,11,Specific Phase,SUNDAY,2027-01-17,Sun 17 Jan 2027,EASY AEROBIC,Easy aerobic,running,Single,Low,Recovery from the most demanding week of the plan. Keep it easy and let the specific work settle.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Coach's note - Unload begins,"From tomorrow, volume comes down while intensity stays. That will feel like less work, which is the intention. The work is already banked, and the taper is what lets it show.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
78,12,Taper And Competition,MONDAY,2027-01-18,Mon 18 Jan 2027,SHORT THRESHOLD RUN + UPPER PRIMER,Run + Upper strength,running / strength_training,Double,Low,"Intensity maintained, volume cut by roughly two thirds. Enough stimulus to hold the adaptations, not enough to add fatigue.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",Coach's note - Trust the taper,"Short, sharp sessions finished before you feel like stopping. These should feel comfortably fast rather than hard. If it feels hard, reducing Wednesday further is a better response than pushing on.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
79,12,Taper And Competition,TUESDAY,2027-01-19,Tue 19 Jan 2027,"SKI - SHORT, AT PACE",Ski erg + Grip,cardio_training,Single,Low,"Keep the feel of competition pace without accumulating fatigue. Short, sharp, finished well before you want to stop.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",Kit - Damper setting,"Write your ski damper number down today and put it with your attempt card. Venue machines vary, and knowing your setting saves time at the start of a scored zone.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
80,12,Taper And Competition,WEDNESDAY,2027-01-20,Wed 20 Jan 2027,STRENGTH PRIMER - CONCENTRIC ONLY,Aerobic + Lower strength,running / strength_training,Double,Low,"Heavy eccentric loading is the primary driver of microtrauma and lingering soreness, so it stops here. What remains is enough to keep neural firing rates alert.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The standard - No eccentric work,"Heavy eccentric loading is the main cause of microtrauma and lingering soreness, so it stops seven days out. Lower under control today, without chasing slow negatives. The focus is concentric.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
81,12,Taper And Competition,THURSDAY,2027-01-21,Thu 21 Jan 2027,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Coach's note - The day before the day before,"Rest is the session today, and there is nothing to gain from testing yourself. Nothing done today will improve Sunday, and a hard session could affect it.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
82,12,Taper And Competition,FRIDAY,2027-01-22,Fri 22 Jan 2027,SHAKEOUT + MOVEMENT REHEARSAL,MetCon circuit,hiit,Single,Very low,"Blood flow and familiarity, nothing more. You cannot gain fitness today and you can easily lose freshness.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",From the floor - Shakeout,"Twenty minutes in total, all of it easy, finishing while you still feel fresh. The purpose is blood flow and familiarity rather than fitness, so keeping it easy matters.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
83,12,Taper And Competition,SATURDAY,2027-01-23,Sat 23 Jan 2027,REST OR TRAVEL,Run to ski transition,running / cardio_training,Single,-,Nothing physical. Use the day for logistics so competition morning holds no decisions.,"Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",From the floor - The night before,"Pack the bag, write the card and set two alarms. Eat normally, since there is no loading protocol for this event. Then leave it there. The work is done.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
84,12,Taper And Competition,SUNDAY,2027-01-24,Sun 24 Jan 2027,COMPETITION,Easy aerobic,running,Single,-,Twelve weeks of work come together today. The aim is to execute what you have rehearsed and avoid unnecessary risk in any zone.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Score impact,"Lowest total placing wins, so three solid zones will usually finish ahead of two excellent ones and a poor one. Open the deadlift conservatively, run the buy-in at your rehearsed pace, control the opening row, and race the rest.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
